district_name,domain,website,city,enrollment,tier
Houston ISD,houstonisd.org,https://www.houstonisd.org,Houston,194000,Tier 3 - Enterprise
Dallas ISD,dallasisd.org,https://www.dallasisd.org,Dallas,140000,Tier 3 - Enterprise
Cypress-Fairbanks ISD,cfisd.net,https://www.cfisd.net,Cypress,118000,Tier 3 - Enterprise
Northside ISD,nisd.net,https://www.nisd.net,San Antonio,101000,Tier 3 - Enterprise
Katy ISD,katyisd.org,https://www.katyisd.org,Katy,90000,Tier 3 - Enterprise
Fort Bend ISD,fortbendisd.com,https://www.fortbendisd.com,Sugar Land,78000,Tier 3 - Enterprise
Fort Worth ISD,fwisd.org,https://www.fwisd.org,Fort Worth,73000,Tier 3 - Enterprise
Austin ISD,austinisd.org,https://www.austinisd.org,Austin,72000,Tier 3 - Enterprise
Frisco ISD,friscoisd.org,https://www.friscoisd.org,Frisco,67000,Tier 3 - Enterprise
Aldine ISD,aldineisd.org,https://www.aldineisd.org,Houston,67000,Tier 3 - Enterprise
Conroe ISD,conroeisd.net,https://www.conroeisd.net,Conroe,66000,Tier 3 - Enterprise
North East ISD,neisd.net,https://www.neisd.net,San Antonio,63000,Tier 3 - Enterprise
Arlington ISD,aisd.net,https://www.aisd.net,Arlington,55000,Tier 3 - Enterprise
Klein ISD,kleinisd.net,https://www.kleinisd.net,Klein,54000,Tier 3 - Enterprise
Garland ISD,garlandisd.net,https://www.garlandisd.net,Garland,52000,Tier 3 - Enterprise
El Paso ISD,episd.org,https://www.episd.org,El Paso,52000,Tier 3 - Enterprise
Lewisville ISD,lisd.net,https://www.lisd.net,Lewisville,51000,Tier 3 - Enterprise
Pasadena ISD,pasadenaisd.org,https://www.pasadenaisd.org,Pasadena,51000,Tier 3 - Enterprise
Plano ISD,pisd.edu,https://www.pisd.edu,Plano,50000,Tier 1 - Sweet Spot
Humble ISD,humbleisd.net,https://www.humbleisd.net,Humble,47000,Tier 1 - Sweet Spot
Round Rock ISD,roundrockisd.org,https://www.roundrockisd.org,Round Rock,47000,Tier 1 - Sweet Spot
San Antonio ISD,saisd.net,https://www.saisd.net,San Antonio,45000,Tier 1 - Sweet Spot
Socorro ISD,sisd.net,https://www.sisd.net,El Paso,45000,Tier 1 - Sweet Spot
Killeen ISD,killeenisd.org,https://www.killeenisd.org,Killeen,44000,Tier 1 - Sweet Spot
United ISD,uisd.net,https://www.uisd.net,Laredo,44000,Tier 1 - Sweet Spot
Clear Creek ISD,ccisd.net,https://www.ccisd.net,League City,43000,Tier 1 - Sweet Spot
Leander ISD,leanderisd.org,https://www.leanderisd.org,Leander,42000,Tier 1 - Sweet Spot
Brownsville ISD,bisd.us,https://www.bisd.us,Brownsville,41000,Tier 1 - Sweet Spot
Ysleta ISD,yisd.net,https://www.yisd.net,El Paso,40000,Tier 1 - Sweet Spot
Mesquite ISD,mesquiteisd.org,https://www.mesquiteisd.org,Mesquite,38000,Tier 1 - Sweet Spot
Richardson ISD,risd.org,https://www.risd.org,Richardson,37000,Tier 1 - Sweet Spot
Lamar CISD,lcisd.org,https://www.lcisd.org,Rosenberg,36000,Tier 1 - Sweet Spot
Corpus Christi ISD,ccisd.us,https://www.ccisd.us,Corpus Christi,36000,Tier 1 - Sweet Spot
Mansfield ISD,mansfieldisd.org,https://www.mansfieldisd.org,Mansfield,35000,Tier 1 - Sweet Spot
Spring Branch ISD,springbranchisd.com,https://www.springbranchisd.com,Houston,35000,Tier 1 - Sweet Spot
Spring ISD,springisd.org,https://www.springisd.org,Houston,35000,Tier 1 - Sweet Spot
Edinburg CISD,ecisd.us,https://www.ecisd.us,Edinburg,35000,Tier 1 - Sweet Spot
Keller ISD,kellerisd.net,https://www.kellerisd.net,Keller,34000,Tier 1 - Sweet Spot
Irving ISD,irvingisd.net,https://www.irvingisd.net,Irving,33000,Tier 1 - Sweet Spot
Ector County ISD,ectorcountyisd.org,https://www.ectorcountyisd.org,Odessa,33000,Tier 1 - Sweet Spot
Northwest ISD,nisdtx.org,https://www.nisdtx.org,Justin,32000,Tier 1 - Sweet Spot
Amarillo ISD,amaisd.org,https://www.amaisd.org,Amarillo,32000,Tier 1 - Sweet Spot
Pharr-San Juan-Alamo ISD,psjaisd.us,https://www.psjaisd.us,Pharr,32000,Tier 1 - Sweet Spot
Denton ISD,dentonisd.org,https://www.dentonisd.org,Denton,30000,Tier 1 - Sweet Spot
Prosper ISD,prosper-isd.net,https://www.prosper-isd.net,Prosper,30000,Tier 1 - Sweet Spot
Grand Prairie ISD,gpisd.org,https://www.gpisd.org,Grand Prairie,29000,Tier 1 - Sweet Spot
La Joya ISD,lajoyaisd.com,https://www.lajoyaisd.com,La Joya,29000,Tier 1 - Sweet Spot
Comal ISD,comalisd.org,https://www.comalisd.org,New Braunfels,28000,Tier 1 - Sweet Spot
Alvin ISD,alvinisd.net,https://www.alvinisd.net,Alvin,27000,Tier 1 - Sweet Spot
Pflugerville ISD,pfisd.net,https://www.pfisd.net,Pflugerville,27000,Tier 1 - Sweet Spot
Lubbock ISD,lubbockisd.org,https://www.lubbockisd.org,Lubbock,27000,Tier 1 - Sweet Spot
McKinney ISD,mckinneyisd.net,https://www.mckinneyisd.net,McKinney,26000,Tier 1 - Sweet Spot
Carrollton-Farmers Branch ISD,cfbisd.edu,https://www.cfbisd.edu,Carrollton,25000,Tier 1 - Sweet Spot
Midland ISD,midlandisd.net,https://www.midlandisd.net,Midland,25000,Tier 1 - Sweet Spot
Birdville ISD,birdvilleschools.net,https://www.birdvilleschools.net,Haltom City,24000,Tier 1 - Sweet Spot
Goose Creek CISD,gccisd.net,https://www.gccisd.net,Baytown,24000,Tier 1 - Sweet Spot
Hays CISD,hayscisd.net,https://www.hayscisd.net,Kyle,24000,Tier 1 - Sweet Spot
Judson ISD,judsonisd.org,https://www.judsonisd.org,San Antonio,24000,Tier 1 - Sweet Spot
Laredo ISD,laredoisd.org,https://www.laredoisd.org,Laredo,24000,Tier 1 - Sweet Spot
Hurst-Euless-Bedford ISD,hebisd.edu,https://www.hebisd.edu,Bedford,23000,Tier 1 - Sweet Spot
Pearland ISD,pearlandisd.org,https://www.pearlandisd.org,Pearland,23000,Tier 1 - Sweet Spot
Galena Park ISD,galenaparkisd.com,https://www.galenaparkisd.com,Galena Park,22000,Tier 1 - Sweet Spot
McAllen ISD,mcallenisd.org,https://www.mcallenisd.org,McAllen,22000,Tier 1 - Sweet Spot
Allen ISD,allenisd.org,https://www.allenisd.org,Allen,21000,Tier 1 - Sweet Spot
Eagle Mountain-Saginaw ISD,emsisd.com,https://www.emsisd.com,Fort Worth,21000,Tier 1 - Sweet Spot
Tomball ISD,tomballisd.net,https://www.tomballisd.net,Tomball,20000,Tier 1 - Sweet Spot
Harlingen CISD,hcisd.org,https://www.hcisd.org,Harlingen,19000,Tier 1 - Sweet Spot
Tyler ISD,tylerisd.org,https://www.tylerisd.org,Tyler,18500,Tier 1 - Sweet Spot
Wylie ISD,wylieisd.net,https://www.wylieisd.net,Wylie,18000,Tier 1 - Sweet Spot
New Caney ISD,newcaneyisd.org,https://www.newcaneyisd.org,New Caney,18000,Tier 1 - Sweet Spot
Rockwall ISD,rockwallisd.com,https://www.rockwallisd.com,Rockwall,17000,Tier 1 - Sweet Spot
Schertz-Cibolo-Universal City ISD,scuc.txed.net,https://www.scuc.txed.net,Schertz,17000,Tier 1 - Sweet Spot
Bryan ISD,bryanisd.org,https://www.bryanisd.org,Bryan,17000,Tier 1 - Sweet Spot
Weslaco ISD,wisd.us,https://www.wisd.us,Weslaco,17000,Tier 1 - Sweet Spot
Crowley ISD,crowleyisdtx.org,https://www.crowleyisdtx.org,Crowley,16000,Tier 1 - Sweet Spot
Forney ISD,forneyisd.net,https://www.forneyisd.net,Forney,16000,Tier 1 - Sweet Spot
Mission CISD,mcisd.net,https://www.mcisd.net,Mission,16000,Tier 1 - Sweet Spot
Magnolia ISD,magnoliaisd.org,https://www.magnoliaisd.org,Magnolia,15000,Tier 1 - Sweet Spot
Donna ISD,donnaisd.net,https://www.donnaisd.net,Donna,15000,Tier 1 - Sweet Spot
College Station ISD,csisd.org,https://www.csisd.org,College Station,14500,Tier 1 - Sweet Spot
San Angelo ISD,saisd.org,https://www.saisd.org,San Angelo,14500,Tier 1 - Sweet Spot
Burleson ISD,burlesonisd.net,https://www.burlesonisd.net,Burleson,14000,Tier 1 - Sweet Spot
Georgetown ISD,georgetownisd.org,https://www.georgetownisd.org,Georgetown,14000,Tier 1 - Sweet Spot
Harlandale ISD,harlandale.net,https://www.harlandale.net,San Antonio,14000,Tier 1 - Sweet Spot
Belton ISD,bisd.net,https://www.bisd.net,Belton,14000,Tier 1 - Sweet Spot
Waco ISD,wacoisd.org,https://www.wacoisd.org,Waco,14000,Tier 1 - Sweet Spot
Abilene ISD,abileneisd.org,https://www.abileneisd.org,Abilene,14000,Tier 1 - Sweet Spot
Victoria ISD,visd.net,https://www.visd.net,Victoria,14000,Tier 1 - Sweet Spot
Grapevine-Colleyville ISD,gcisd.net,https://www.gcisd.net,Grapevine,13500,Tier 1 - Sweet Spot
Midlothian ISD,misd.gs,https://www.misd.gs,Midlothian,13000,Tier 1 - Sweet Spot
Southwest ISD,swisd.net,https://www.swisd.net,San Antonio,13000,Tier 1 - Sweet Spot
Wichita Falls ISD,wfisd.net,https://www.wfisd.net,Wichita Falls,13000,Tier 1 - Sweet Spot
Coppell ISD,coppellisd.com,https://www.coppellisd.com,Coppell,12500,Tier 1 - Sweet Spot
Deer Park ISD,dpisd.org,https://www.dpisd.org,Deer Park,12500,Tier 1 - Sweet Spot
Duncanville ISD,duncanvilleisd.org,https://www.duncanvilleisd.org,Duncanville,12000,Tier 1 - Sweet Spot
Dickinson ISD,dickinsonisd.org,https://www.dickinsonisd.org,Dickinson,12000,Tier 1 - Sweet Spot
Lake Travis ISD,ltisdschools.org,https://www.ltisdschools.org,Austin,12000,Tier 1 - Sweet Spot
Del Valle ISD,dvisd.net,https://www.dvisd.net,Del Valle,12000,Tier 1 - Sweet Spot
Frenship ISD,frenship.us,https://www.frenship.us,Wolfforth,11000,Tier 1 - Sweet Spot
Clint ISD,clintweb.net,https://www.clintweb.net,Clint,11000,Tier 1 - Sweet Spot
Los Fresnos CISD,lfcisd.net,https://www.lfcisd.net,Los Fresnos,11000,Tier 1 - Sweet Spot
